Î¾,d,C,actDCF,minDCF,ERROR RATE (%)
0,4,1e-05,1.0,1.0,50.4
0,4,3.1622776601683795e-05,0.806,0.215,6.6
0,4,0.0001,0.655,0.21,5.6
0,4,0.00031622776601683794,0.501,0.187,5.0
0,4,0.001,0.399,0.177,4.65
0,4,0.0031622776601683794,0.32,0.177,4.15
0,4,0.01,0.279,0.188,4.2
0,4,0.03162277660168379,0.258,0.205,4.05
0,4,0.1,0.284,0.226,4.5
0,4,0.31622776601683794,0.272,0.258,4.3
0,4,1.0,0.302,0.269,4.5
0,4,3.1622776601683795,0.304,0.282,4.95
0,4,10.0,0.305,0.285,4.85
0,4,31.622776601683793,0.316,0.298,5.05
0,4,100.0,0.333,0.323,4.9
